site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0000258,J04956,Goongarrie Lady,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",121.184491,-30.081341,Y
S0000352,J00170,Jeffreys Find,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",122.151147,-31.94642,Y
S0000357,J00256,Mt Morgans,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LAVERTON, SHIRE OF",122.219297,-28.807175,Y
S0000404,J01338,Phillips Find,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",120.965996,-30.612844,Y
S0000426,J01616,Ironstone Well,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.781908,-26.840597,Y
S0000584,J00270,Malcolm Challenger Gold - Murrin Murrin,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.817764,-28.899707,Y
S0000709,J02325,Linden Gold,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",122.435829,-29.376492,Y
S0000811,J00424,Anglo Saxon - Trouser Legs,Mine,Openpit,Care And Maintenance,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",122.731489,-30.076767,Y
S0000849,J00014,Coolgardie Gold / Focus,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.200923,-30.932811,Y
S0001112,J00028,Bottle Creek,Mine,Openpit,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",120.44681,-29.154026,Y
S0001178,J00452,Silver Swan - Black Swan,Mine,Openpit,Proposed,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.648884,-30.393485,Y
S0001288,J02628,Kambalda / Mincor,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.661211,-31.164036,Y
S0001467,J00677,Spargoville Nickel,Mine,Openpit,Proposed,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",121.506415,-31.353794,Y
S0001585,J00440,Leinster,Mine,Decline,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",120.705608,-27.818105,Y
S0001667,J00756,Mt Keith / BHP Billiton,Mine,Openpit,Care And Maintenance,NICKEL,Steel alloy metal,"MID-WEST, Development Region","WILUNA, SHIRE OF",120.54175,-27.229585,Y
S0001691,J00766,Kalgoorlie Nickel Smelter,Infrastructure,Processing Plant,Care And Maintenance,NICKEL,Steel alloy metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",121.484507,-30.874787,Y
S0002383,J00330,Gwalia - Leonora,Mine,Decline,Operating,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","LEONORA, SHIRE OF",121.333484,-28.918407,Y
S0002432,J01324,Lake Cowan Gypsum / Whitfield,Mine,Openpit,Operating,GYPSUM,Industrial mineral,"GOLDFIELDS-ESPERANCE, Development Region","DUNDAS, SHIRE OF",121.741166,-32.233405,Y
