site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0239301,J00098,Agnew - Emu,Agnew - Waroonga Solar Farm,Solar Farm,Infrastructure,Other,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.512465,-27.995180,Y
S0239438,J04392,Miralga Creek,Miralga East - Dasher,Miralga East - Dasher,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.436307,-20.971838,Y
S0239697,J04564,Hancock / Alien,Western Ridges E,Ridge E,Mine,Openpit,Proposed,Iron Ore,Iron,Pilbara,Shire Of East Pilbara,119.677494,-23.228025,Y
S0239822,J05955,Haber,Haber,Haber,Infrastructure,Processing Plant,Proposed,Other,Other (Minedex Non-Minerals),Mid-West,City Of Greater Geraldton,114.680304,-28.820791,Y
S0239823,J01407,East Pilbara Iron Ore / FMG,Bigge - Cloudbreak,Bigge,Mine,Openpit,Operating,Iron Ore,Iron,Pilbara,Shire Of Ashburton,119.205939,-22.286145,Y
S0239831,J04621,Kambalda Nickel,Baker,Baker,Mine,Decline,Proposed,Nickel,Steel Alloy Metal,Goldfields-Esperance,Shire Of Coolgardie,121.798840,-31.343558,Y
S0239942,J05641,Lady Julie,Lady Julie North 4 (LJN4),LJN4,Mine,Openpit,Proposed,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,122.307224,-28.687753,Y
S0240062,J02467,Coburn Zircon,Amy South,Amy South,Mine,Openpit,Care And Maintenance,Heavy Mineral Sands,Speciality Metal,Gascoyne,Shire Of Shark Bay,114.119050,-26.695937,Y
S0240111,J06003,Western Green Energy Hub (WGEH),Western Green Energy Hub,Western Green Energy Hub,Infrastructure,Unspecified,Proposed,Other,Energy,Goldfields-Esperance,Shire Of Dundas,128.955111,-31.649304,Y
S0240113,J06004,HyEnergy - Green Hydrogen,HyEnergy,HyEnergy,Other,Unspecified,Proposed,Other,Energy,Gascoyne,Shire Of Carnarvon,113.768684,-25.091906,Y
S0240281,J04902,Kathleen Valley Lithium,Kathleen Valley Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.547895,-27.460086,Y
S0240463,J05975,Collie Graphite Hub,Collie Graphite Hub,Collie Graphite Hub,Infrastructure,Processing Plant,Under Development,Graphite,Industrial Mineral,South West,Shire Of Collie,116.144150,-33.342847,Y
S0240470,J06084,Bristol Springs Renewable Energy,Bristol Springs Solar Plant,Bristol Springs Solar Plant,Infrastructure,Power Plant,Proposed,Other,Energy,Peel,Shire Of Waroona,115.779455,-32.914213,Y
S0240731,J02267,Warrawoona Gold / Calidus,Warrawoona Solar Farm,Warrawoona Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Pilbara,Shire Of East Pilbara,119.894220,-21.355735,Y
S0240785,J06167,Hazer Commercial Demonstration Plant (CDP),Commercial Demonstration Plant (CDP) Pilot Plant,CDP Pilot Plant,Infrastructure,Processing Plant,Under Development,Graphite,Industrial Mineral,Metro,City Of Cockburn,115.772151,-32.143014,Y
S0240820,J00017,Cue Gold - Central Murchison,Bluebird Power Station - Hybrid Power and Powerline,Power Station,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Meekatharra,118.433116,-26.710332,Y
S0240915,J00109,Fortnum,"Fortnum Solar Array, BESS and Power Station",Hybrid Power,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Meekatharra,118.357911,-25.326353,Y
S0241339,J01726,Jundee - Nimary,Jundee Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Wiluna,120.612274,-26.378076,Y
S0241343,J00226,Marvel Loch - Southern Cross,Rhapsody,Rhapsody,Mine,Openpit,Operating,Gold,Precious Metal,Wheatbelt,Shire Of Yilgarn,119.541813,-31.501183,Y
S0241578,J05005,Symes Find / Mt Hampton,Pit C,Pit C,Mine,Openpit,Operating,Gold,Precious Metal,Wheatbelt,Shire Of Yilgarn,119.065279,-31.831781,Y
S0241815,J04723,Sandy Ridge Kaolin / Tellus,Sandy Ridge Kaolin Solar Panel Farm / Tellus,Sandy Ridge Solar Panel Farm / Tellus,Infrastructure,Power Plant,Under Development,Clays,Industrial Mineral,Goldfields-Esperance,Shire Of Coolgardie,120.097709,-30.366087,Y
